@@,item,itemlabel,startdate,enddate
+++,Q2943722,Ghazi Zaiter,1998-12-04,2000-10-26
+++,Q3196030,Khalil Hrawi,2000-10-26,2003-04-17
->,Q319983,Mahmoud Hammoud,2003-04-17,2005-07-19->2004-10-26
+++,Q2820965,Abdul Rahim Mrad,2004-10-26,2005-04-19
+++,Q1329138,Elias Murr,2005-04-19,2011-06-13
+++,Q7409525,Samir Mouqbel,2014-02-14,2016-12-18
+++,Q330377,Yacoub Sarraf,2016-12-18,2019-02-03
+++,Q21005151,Elias Bou Saab,2019-02-03,2020-01-21
